DEPCOM;COM;PMUN;PCAP;PTOT
01001;L' Abergement-Clémenciat;804;14;818
01002;L' Abergement-de-Varey;195;6;201
01004;Ambérieu-en-Bugey;12696;435;13131
01005;Ambérieux-en-Dombes;1544;37;1581
01006;Ambléon;125;0;125
01007;Ambronay;2263;105;2368
01008;Ambutrix;649;14;663
01009;Andert-et-Condon;325;16;341
01010;Anglefort;918;9;927
01011;Apremont;333;20;353
01012;Aranc;286;13;299
01013;Arandas;158;1;159
01014;Arbent;3443;142;3585
01015;Arbignieu;469;14;483
01016;Arbigny;352;11;363
01017;Argis;421;4;425
01019;Armix;25;1;26
01021;Ars-sur-Formans;1264;19;1283
01022;Artemare;1081;26;1107
01023;Asnières-sur-Saône;86;2;88
01024;Attignat;2567;59;2626
01025;Bâgé-la-Ville;2756;83;2839
01026;Bâgé-le-Châtel;798;71;869
01027;Balan;2347;100;2447
01028;Baneins;606;11;617
01170;Béard-Géovreissiat;886;34;920
01029;Beaupont;560;10;570
01030;Beauregard;894;18;912
01032;Béligneux;2851;59;2910
01033;Bellegarde-sur-Valserine;11367;341;11708
01034;Belley;8665;425;9090
01035;Belleydoux;287;19;306
01031;Bellignat;3472;178;3650
01036;Belmont-Luthézieu;478;15;493
01037;Bénonces;271;2;273
01038;Bény;729;17;746
01039;Béon;355;13;368
01040;Béréziat;359;8;367
01041;Bettant;711;10;721
01042;Bey;241;10;251
01043;Beynost;4240;95;4335
01044;Billiat;444;6;450
01045;Birieux;220;2;222
01046;Biziat;765;10;775
01047;Blyes;927;15;942
01245;Bohas-Meyriat-Rignat;805;35;840
01049;La Boisse;2804;64;2868
01050;Boissey;225;5;230
01051;Bolozon;100;3;103
01052;Bouligneux;304;10;314
01053;Bourg-en-Bresse;40506;2147;42653
01054;Bourg-Saint-Christophe;1065;18;1083
01056;Boyeux-Saint-Jérôme;309;12;321
01057;Boz;491;8;499
01058;Brégnier-Cordon;699;29;728
01059;Brénaz;93;7;100
01060;Brénod;523;16;539
01061;Brens;920;36;956
01062;Bressolles;703;18;721
01063;Brion;511;20;531
01064;Briord;838;17;855
01065;Buellas;1633;68;1701
01066;La Burbanche;65;0;65
01067;Ceignes;277;5;282
01068;Cerdon;779;9;788
01069;Certines;1432;33;1465
01071;Cessy;3368;107;3475
01072;Ceyzériat;2594;73;2667
01073;Ceyzérieu;884;28;912
01074;Chalamont;2093;23;2116
01075;Chaleins;1191;22;1213
01076;Chaley;120;5;125
01077;Challes-la-Montagne;187;3;190
01078;Challex;1073;21;1094
01079;Champagne-en-Valromey;716;18;734
01080;Champdor;440;13;453
01081;Champfromier;630;32;662
01082;Chanay;602;28;630
01083;Chaneins;842;17;859
01084;Chanoz-Châtenay;652;16;668
01085;La Chapelle-du-Châtelard;310;2;312
01087;Charix;292;15;307
01088;Charnoz-sur-Ain;900;14;914
01089;Château-Gaillard;1704;38;1742
01090;Châtenay;336;3;339
01091;Châtillon-en-Michaille;2993;92;3085
01092;Châtillon-la-Palud;1446;60;1506
01093;Châtillon-sur-Chalaronne;4904;210;5114
01094;Chavannes-sur-Reyssouze;658;15;673
01095;Chavannes-sur-Suran;639;11;650
01096;Chaveyriat;896;23;919
01097;Chavornay;177;7;184
01098;Chazey-Bons;710;16;726
01099;Chazey-sur-Ain;1348;26;1374
01100;Cheignieu-la-Balme;144;4;148
01101;Chevillard;181;2;183
01102;Chevroux;847;10;857
01103;Chevry;1151;47;1198
01104;Chézery-Forens;404;13;417
01105;Civrieux;1341;79;1420
01106;Cize;150;2;152
01107;Cleyzieu;135;1;136
01108;Coligny;1147;30;1177
01109;Collonges;1421;26;1447
01110;Colomieu;117;1;118
01111;Conand;104;6;110
01112;Condamine;380;45;425
01113;Condeissiat;741;17;758
01114;Confort;515;22;537
01115;Confrançon;1059;27;1086
01116;Contrevoz;483;17;500
01117;Conzieu;111;4;115
01118;Corbonod;1105;20;1125
01119;Corcelles;211;5;216
01121;Corlier;114;1;115
01122;Cormaranche-en-Bugey;846;72;918
01123;Cormoranche-sur-Saône;1022;29;1051
01124;Cormoz;508;13;521
01125;Corveissiat;530;18;548
01127;Courmangoux;476;15;491
01128;Courtes;244;5;249
01129;Crans;275;7;282
01130;Cras-sur-Reyssouze;1116;36;1152
01133;Cressin-Rochefort;355;10;365
01134;Crottet;1676;42;1718
01135;Crozet;1720;63;1783
01136;Cruzilles-lès-Mépillat;781;14;795
01138;Culoz;2957;58;3015
01139;Curciat-Dongalon;423;6;429
01140;Curtafond;672;13;685
01141;Cuzieu;385;10;395
01142;Dagneux;3890;75;3965
01143;Divonne-les-Bains;7572;203;7775
01144;Dommartin;778;16;794
01146;Dompierre-sur-Chalaronne;362;17;379
01145;Dompierre-sur-Veyle;1173;24;1197
01147;Domsure;468;9;477
01148;Dortan;2088;80;2168
01149;Douvres;920;34;954
01150;Drom;179;1;180
01151;Druillat;1123;21;1144
01152;Échallon;765;27;792
01153;Échenevex;1500;52;1552
01154;Étrez;770;15;785
01155;Évosges;125;9;134
01156;Faramans;641;14;655
01157;Fareins;1948;56;2004
01158;Farges;825;12;837
01159;Feillens;3110;111;3221
01160;Ferney-Voltaire;7741;221;7962
01162;Flaxieu;55;3;58
01163;Foissiat;1828;36;1864
01165;Francheleins;1165;28;1193
01166;Frans;1972;38;2010
01167;Garnerans;632;20;652
01169;Genouilleux;561;10;571
01171;Géovreisset;887;29;916
01172;Germagnat;140;4;144
01173;Gex;9505;247;9752
01174;Giron;139;2;141
01175;Gorrevod;692;14;706
01176;Le Grand-Abergement;104;6;110
01177;Grand-Corent;135;5;140
01179;Grièges;1751;50;1801
01180;Grilly;677;23;700
01181;Groissiat;1098;36;1134
01182;Groslée;350;9;359
01183;Guéreins;1237;25;1262
01184;Hautecourt-Romanèche;735;13;748
01185;Hauteville-Lompnes;4114;135;4249
01186;Hostiaz;78;2;80
01187;Hotonnes;300;19;319
01188;Illiat;533;19;552
01189;Injoux-Génissiat;975;21;996
01190;Innimond;110;6;116
01191;Izenave;152;3;155
01192;Izernore;2230;49;2279
01193;Izieu;190;4;194
01194;Jassans-Riottier;5903;99;6002
01195;Jasseron;1394;41;1435
01196;Jayat;993;25;1018
01197;Journans;322;17;339
01198;Joyeux;230;2;232
01199;Jujurieux;1986;35;2021
01200;Labalme;156;1;157
01202;Lagnieu;6697;144;6841
01203;Laiz;1085;34;1119
01204;Lalleyriat;224;9;233
01205;Lancrans;1015;32;1047
01206;Lantenay;256;9;265
01207;Lapeyrouse;295;2;297
01208;Lavours;121;8;129
01209;Léaz;511;16;527
01210;Lélex;225;8;233
01211;Lent;1253;31;1284
01212;Lescheroux;691;17;708
01213;Leyment;1222;21;1243
01214;Leyssard;164;6;170
